,es_word,es_sim,ro_word,ro_sim,it_word,it_sim,pt_word,pt_sim,fr_word,fr_sim,label
absence,ausencia,0.8132468256000648,absență,0.5455465839452436,assenza,0.773546641459303,ausência,0.8015013888752073,absence,0.7826696782884257,1.0
abstinence,abstinencia,0.7543588498213359,abstinență,0.5757515802074786,astinenza,0.6983358118437968,abstinência,0.6880352531153262,abstinence,0.7414290963090638,1.0
absurd,absurdo,0.7265420304699942,absurd,0.6352359219586817,assurdo,0.7079592497507534,absurdo,0.7236073662538312,absurde,0.7849776830905075,
abundance,abundancia,0.8321176458747829,abundență,0.6141329776942231,abbondanza,0.7810465335031751,abundância,0.7956598676542581,abondance,0.737385246937896,1.0
ace,as,0.19544207217604015,as,0.14283927292112425,asso,0.42426481226556,ás,0.3565063621318029,as,0.24694377465507633,1.0
acid,ácido,0.7965775499845805,acid,0.7541696246016596,acido,0.7460792799581583,ácido,0.745966766441,acide,0.7546647223426332,
adage,adagio,0.33783441142825565,,,adagio,0.390301423494232,adágio,0.4266779799416483,adage,0.5728303760078565,0.0
admit,admitir,0.7293874544065084,admite,0.5393653092946779,ammettere,0.7503670903448544,admitir,0.724268624708113,admettre,0.7090336754947436,1.0
adult,adulto,0.718407298405254,adult,0.5891099747118119,adulto,0.5875967721048394,adulto,0.6735980684348681,adulte,0.6842349906334643,
adverb,adverbio,0.746808069186946,adverb,0.6401290376545425,avverbio,0.7206030662415159,advérbio,0.6750563101468443,adverbe,0.6856017023226031,
agile,ágil,0.6807421694320619,agil,0.48259522698558016,agile,0.6967380806493116,ágil,0.6770338869710253,agile,0.6892381516902231,0.0
ambiguous,ambiguo,0.657907533429228,ambiguu,0.6259185508920745,ambiguo,0.6120641217149617,ambíguo,0.6613298132825571,ambigu,0.5418183826023802,0.0
anatomy,anatomía,0.8053705275372153,anatomie,0.712041541071961,anatomia,0.7490721430385936,anatomia,0.8010030852166601,anatomie,0.7644670294247979,0.0
anchor,ancla,0.5928080378028702,ancoră,0.3876143901267314,ancora,0.1543653067941027,âncora,0.6464622609607562,ancre,0.443549144486671,1.0
angel,angel,0.5895647146944248,înger,0.4960434114664171,angelo,0.5215907021001563,anjo,0.6361325737021093,ange,0.5800327268356223,1.0
antidote,antídoto,0.7228515516431304,antidot,0.6220047970840855,antidoto,0.7210679925620525,antídoto,0.7443980728693258,antidote,0.7155450050124919,0.0
antipathy,antipatía,0.7565516724679597,antipatie,0.5251347392193634,antipatia,0.6591502499770938,antipatia,0.7084209524564593,antipathie,0.6699392797321378,0.0
aphorism,aforismo,0.6707315087514395,aforism,0.5868145613382271,aforisma,0.6409837792015624,aforismo,0.6585479440712909,aphorisme,0.737415753488261,0.0
apostasy,apostasía,0.7587328566515877,apostazie,0.5857824570473449,apostasia,0.7513743186045484,apostasia,0.6109151376729797,apostasie,0.777188155610241,0.0
applaud,aplaudir,0.6531750302566316,aplauda,0.507679743132367,applaudire,0.6208529727762953,aplaudir,0.6211139919419332,applaudir,0.6039191778159014,0.0
aqueduct,acueducto,0.6571565097351757,apeduct,0.5614152174324025,acquedotto,0.6616616653051314,aqueduto,0.668474581660558,aqueduc,0.7172742884350842,0.0
architect,arquitecto,0.8885407993630552,arhitect,0.7871710322065095,architetto,0.8460453040141281,arquiteto,0.8670089456670332,architecte,0.878260558278818,0.0
arctic,ártico,0.8478171076825765,arctic,0.6795689594963191,artico,0.6275055300177608,ártico,0.7519665201379749,arctique,0.8203680748926406,0.0
